"Sample","0027_XAV_iHMP2_FFA_SM-77FXR","0030_XAV_iHMP2_FFA_SM-6KUCT","0051_XAV_iHMP2_FFA_SM-9WOBP","0069_XAV_iHMP2_FFA_SM-9OS5Y","0393_XAV_iHMP2_FFA_SM-AMR37","0407_XAV_iHMP2_FFA_SM-AUP8B","0433_XAV_iHMP2_FFA_SM-9SNJ4","0508_XAV_iHMP2_FFA_SM-9X47O"
"Label","CD","CD","CD","CD","nonIBD","nonIBD","nonIBD","nonIBD"
"151.06649","646349.18739",NA,NA,"36739.99871","307433.4209","278714.71705","469109.33177","88397.99427"
"152.02852","962333.17315","2233601.90794","5248142125.14315","160625248.48372","3814974.28108","2941358.55168","3587268.74102","3016026.64723"
"152.04231","1135816.70317","3385853.69437","172130.06731","3553373.36877","1416952.5941","535867.9389","162123.64034","678870.58952"
"153.01829","1243194.11322","3399136.74689","195349045.58025","10563242.16262","2760865.38414","1730302.4589","2114882.91602","4392522.49711"
"153.01842","2970731.20995","3498460.96148",NA,"11732110.27032","5207943.6585","6023958.86097","14427387.26956","4454711.50883"
"153.09111","710563.78798","793747.37168","21536.61091","644956.07239","11937139.03306","8396297.95043","8236336.29068","5759787.14603"
"154.02173","99824.64232","11071.68084","18723.23269","161417.83738","35626.94481","203684.87835","822535.29636","112595.63348"
"154.09449","16883.12586","5478.88408",NA,"4144.74505","1079691.98275","764719.79333","753973.87478","511386.10927"
"155.10673","3243189.70162","2161453.97891","769254.66389","21438510.96232","3187362.11329","12102995.60703","2140129.21701","1281347.13341"
"155.10674","7796092.79945","3329891.2778","33632.86899","3767050.38993","9176508.21591","2191587.61839","556148.03149","99246.81342"
"156.01132","21219546.78414","19585427.25886","16395663.38749",NA,"12137193.21216","12310386.61617","11435468.29553","6463442.26567"
"156.11012","278100.54707","112273.52507","33558.01948","1828805.99383","223593.21425","1120352.8394","106690.16329","51239.02398"
"156.10994","690175.07593","286687.09861",NA,"106466.42074","29674.36218","53868.326","13326.0265",NA
"157.0148","579888.66057","563549.07066","431923.18722","344180.76536","915781.91002","636305.12757","674155.57627","369865.40863"
"157.12237","2036745.22196","2109695.98158","1667091.59668","1415651.90142","1500345.15335","1831326.48955","2972979.87138","1710763.40883"
"158.00725","824778.25249","758992.60574","645284.69126","90488.87507","477515.8471","444974.95428","463663.59688","158614.39666"
"158.12577","32881.48584","52293.07691","28075.69224","31357.53956","16868.31158","50477.01164","198362.49197","96927.71119"
"158.97769","445793.61815","117886728.21621","88828540.18735","443029.79497","75035964.60686","245996.60119","120859052.81325","171797.8515"
"159.10167","1723845.27855","2325258.66163","2902581.00566","3842561.18549","21698784.09327","4453366.80133","6070587.28628","4587432.14872"
"159.06528","16922394.59722","14856462.55539","436980.15786","19531009.48843","18302049.00977","65926126.46373","16734424.8152","28098704.19094"
"159.97819","24626575.90322","13276447.33613","9898183.28451","27261098.35857","8410750.1155","19570763.12163","13482423.703","18472208.80432"
"160.06868","1113243.30416","1027419.58586",NA,"143530.90703","1333589.26124","4725331.58729","1062434.52674","1919395.16962"
"160.10507","29439.58164","24205.66379","115132.47493",NA,"1654295.9436","143299.44084","538900.75693","329882.08133"
"160.98125","3344514.86385","1662174.16704","1292134.44827","3476511.57781","952340.5416","2366883.34106","1721972.42971","2301828.75102"
"161.08091","1144930.24006","4529438.37204","472230.69807","42606816.78127","1948097.42508","247556.3507","760667.9172","101965.35587"
"162.05501","149551130.25641","124543437.24267","4241532.3666","5572252.3396","132743962.85183","177492105.63959","118816788.47658","449084.12425"
"162.08427","11384.17668","202313.86129",NA,"2115062.45537","5885.58449",NA,"13854.14266",NA
"163.03912","3643256.74542","2397244.11583","484114.82029","2910816.06749","3671647.86083","2103107.97431","1191019.52336","2371526.50494"
"163.05819","13909284.35659","11786266.50653",NA,"6743627.63155","11859479.80807","16686990.53005","10764895.60275","2892.39204"
"164.06173","275923.03104","259182.56023",NA,"4183045.15462","20087.40904","314906.05191","192948.66658",NA
"164.04254","80099.75694","184580.5232","4662.22491","738540.96528","21900.86932","14644.43017","3970.03633","125077.59678"
"164.07077","32715376.50212","38317240.26716","417384417.27803","96446757.79502","123421411.57955","101730862.43723","14383236.82808","5999112.68657"
"165.01843","3562720.90214","5548297.80159","729746.91006","7178973.84951","9282047.64708","7354890.61266","4392567.50801","4224306.26331"
"165.0548","1690424.21369","54956483.19248","137816.99517","6194157.51118","26241972.46518","7202375.9426","2793249.18021","5033418.21235"
"165.05475","1228327183.19858","177103995.78384","197396543.45002","2133021635.44232","127718908.14835","34055161.53294","17368892.8891","19569171.20244"
"165.05483","297508.13965","165170.09868","116265.99629","2933295.19478","5776060.11575","1988124.09724","6405885.37218","8617288.20617"
"165.07412","2884458.2062","3495740.45727","38735192.87691","8500324.73278","10711382.8733","9263421.16973","1083826.43309","401492.13244"
"166.05796","121058343.01517","17159145.63545","19385125.32363","209050434.495","12070925.03578","3195698.66557","707141.62593","1118720.281"
"166.05816","82862.11369","5285933.94565","16378.16997","468655.85657","2326200.06892","621861.16434","201586.25298","431900.41271"
"166.02178","135982.2869","167602.23066",NA,"98235.85308","249260.84783","476990.66411","254302.03673","274657.85284"
"166.05818","38750.63436","41276.26683","62323.21329","97559.06562","348385.46155","62667.21125","317962.2085","748194.88032"
"167.06131","2594704.10028","309289.40804","369461.52697","5020208.88382","1339208.30435","2329838.19748","1692792.40403","1650.47744"
"167.03408","112429.59281","1341306.32324","43215.37163","3256596.11543","206244.6515","241656.18358","298075.21609","124632.08222"
"167.14314","1259468.45843","2054935.22197","988087.9469","654558.15114","265408.48995","870558.39292","653982.85803","555780.55986"
"167.1432","199096.86352","22339.00694",NA,"501970.22355","2196993.9082","1022418.54947","3601331.0839","1226722.27554"
"168.03749",NA,"76888.11372",NA,"179422.67258",NA,NA,"1368102.37485",NA
"168.14658","4945.51178",NA,NA,"18754.58863","115236.6572","49099.87963","326103.6254","102472.80228"
"168.14638","78903.50663","196568.01286","38390.65905","19563.7744","6494.28483","41036.92866","11129.36876","1498.57137"
