"","Fold Change","log2(FC)"
"560.47612",53.429,5.7395
"500.24056",53.193,5.7332
"359.19009",0.018873,-5.7275
"331.10016",0.018898,-5.7256
"568.32067",52.567,5.7161
"461.32021",52.127,5.704
"265.12762",0.019208,-5.7021
"284.09063",52.031,5.7013
"122.06803",51.814,5.6953
"438.12809",51.59,5.689
"117.92734317",51.537,5.6875
"192.02969",51.456,5.6853
"226.11597",51.396,5.6836
"154.0612",51.32,5.6815
"499.26644",0.019576,-5.6748
"447.31212",0.019638,-5.6702
"559.46325",50.599,5.661
"410.22709",0.02004,-5.6409
"618.4373",49.89,5.6407
"405.22474",49.649,5.6337
"321.17249",0.02017,-5.6316
"800.57672",49.493,5.6292
"463.29836",49.446,5.6278
"159.06531",49.294,5.6233
"505.33549",48.922,5.6124
"637.50231",48.853,5.6104
"454.28913",48.427,5.5977
"337.17752",0.0207,-5.5942
"507.29673",0.020706,-5.5938
"466.12383",48.166,5.5899
"353.10965",48.1,5.588
"315.12444",0.020851,-5.5837
"673.25624",47.908,5.5822
"541.3396",47.9,5.582
"376.21669",0.020884,-5.5815
"315.13004",0.020903,-5.5801
"438.29378",47.683,5.5754
"435.12764",47.599,5.5729
"526.35134",46.968,5.5536
"494.31235",46.92,5.5521
"323.16182",0.021401,-5.5461
"473.25182",46.655,5.544
"308.17021",0.021596,-5.5331
"440.29894",46.133,5.5277
"467.2115",46.026,5.5244
"300.19009",0.021773,-5.5213
"441.2589",45.44,5.5059
"358.10493",44.864,5.4875
"724.38512",44.811,5.4858
"442.24452",44.636,5.4801
"543.2551",44.557,5.4776
"725.39679",44.541,5.477
"727.37613",44.478,5.475
"281.13956",44.457,5.4744
"454.28942",44.346,5.4707
"241.07946",0.022801,-5.4547
"463.27128",0.022868,-5.4506
"109.03387",43.569,5.4452
"359.20266",0.023073,-5.4377
"558.46101",43.024,5.4271
"363.14585",43.011,5.4266
"309.17441",42.735,5.4174
"377.08635",42.563,5.4115
"799.56461",42.51,5.4097
"723.38147",42.506,5.4096
"222.07666",42.43,5.407
"506.34873",42.419,5.4067
"436.22434",42.207,5.3994
"470.2755",42.03,5.3933
"701.53658",41.695,5.3818
"338.17251",41.675,5.3811
"285.12472",41.635,5.3797
