"","Overall"
"423.27548",38.95
"441.26265",38.95
"565.46491",38.94
"407.27012",38.926
"389.2677",38.844
"241.10818",38.717
"554.38226",38.716
"313.23886495",38.618
"590.30598",38.6
"374.27841",38.545
"697.24562",38.492
"218.07802",38.274
"252.08549",38.227
"181.08626",38.169
"356.14539",38.131
"361.23891",38.13
"444.26022",38.117
"314.14882",38.117
"324.16514",38.078
"328.16252",38.019
"430.98438",37.957
"423.22737",37.904
"243.12395",37.892
"605.29865",37.892
"321.14619",37.89
"327.16932",37.865
"638.52462",37.857
"628.35846",37.692
"321.20741",37.643
"319.21297",37.604
"384.15697",37.516
"315.12444",37.431
"552.36736",37.426
"418.28129",37.26
"477.22896",37.26
"483.2038",37.259
"219.02711",37.202
"445.29658",37.197
"479.3745",37.155
"246.13475",37.105
"354.26517",37.052
"336.15969",37.037
"355.32232",37.029
"307.16681",37.003
"539.2872",36.977
"588.4668",36.972
"457.08077",36.873
"381.1061",36.862
"317.17606",36.856
"521.23997",36.837
"466.28952",36.783
"629.45525",36.747
"261.02949",36.742
"557.33385",36.733
"410.28848",36.693
"515.41027",36.674
"351.92527",36.668
"331.24946",36.642
"255.1022",36.608
"457.26343",36.604
"345.13494",36.49
"484.30426",36.409
"619.42124",36.39
"121.02825",36.375
"662.52657",36.362
"337.10892",36.341
"339.15786",36.302
"479.31957",36.286
"540.33684",36.274
"574.45104",36.235
"443.30142",36.195
"476.27804",36.142
"383.31728",36.133
"445.19072",36.098
"512.26868",36.068
"527.35489",36.046
"157.01339",36.044
"279.09323",36.033
"213.05776",36.023
"550.34836",36.006
"544.25851",35.984
"313.21775",35.98
"385.23902",35.965
"263.6282",35.962
"294.10701",35.955
"372.25475",35.947
"699.38109",35.917
"307.14854",35.87
"504.23615",35.833
"285.11366",35.813
"441.2236",35.78
"541.27863",35.742
"511.31048",35.712
"626.35507",35.682
"330.10643",35.656
"172.99057",35.582
"405.09416",35.538
"452.27354",35.512
"378.27788",35.51
"270.09889",35.426
"385.16968",35.423
"620.52546",35.423
"271.19168",35.418
"460.00038",35.415
"671.36652",35.388
"399.18862",35.319
"368.19205",35.317
"377.13976",35.172
"286.11677",35.146
"412.08695",35.141
"419.28472",35.085
"307.16676",35.049
"605.40556",34.981
"318.14962",34.975
"321.11094",34.964
"397.33232",34.949
"410.86359",34.916
"711.53675",34.914
"317.21247",34.91
"726.39994",34.841
"289.15595",34.818
"521.33098",34.815
"107.03633",34.809
"512.30917",34.76
"101.05948",34.755
"465.22266",34.743
"224.07992",34.74
"408.28317",34.702
"481.33617",34.666
"467.3338",34.613
"208.0493",34.611
"427.23379",34.597
"333.17141",34.583
"773.57085",34.578
"106.04112",34.577
"349.16638",34.568
"357.28027",34.523
"387.25466",34.516
"185.10771",34.513
"300.15388",34.49
"495.27834",34.457
"136.07572",34.387
"331.15569",34.375
"281.24895885",34.364
"555.29943",34.315
"266.10925",34.29
"589.30274",34.276
"468.31181",34.262
"194.08163214",34.262
"110.07108",34.261
"437.29108",34.259
"359.22333",34.183
"209.06753",34.036
"803.54441",34.021
"465.28615",34.017
"327.0879",34.006
"708.52106",33.996
"368.19001",33.952
"587.28709",33.946
"541.484",33.944
"497.27675",33.939
"254.10359",33.934
"412.20156",33.922
"416.19867",33.921
"251.129",33.89
"442.26626",33.883
"250.0331",33.859
"506.33889",33.816
"202.11606",33.785
"486.31963",33.775
"661.53273",33.763
"198.07673",33.724
"479.24739",33.712
"673.54172",33.7
"483.02364",33.676
"649.41381",33.653
"412.86129",33.591
"436.22434",33.539
"512.21485",33.521
"541.26538",33.515
"340.91755",33.48
"96.95874",33.476
"302.10373",33.454
"409.13631",33.454
"513.2528",33.441
"505.30164",33.43
"295.11653",33.429
"637.50231",33.399
"307.09563",33.382
"433.9848",33.348
"331.25536",33.311
"228.13206861",33.245
"410.289",33.162
"297.11367",33.117
"737.3967",33.115
"335.15403",33.115
"263.14048",33.115
"335.09455",33.112
"315.10944",33.089
"196.04391",33.068
"394.19873",33.02
"305.15118311",33.004
"289.18114",33.002
"435.31175",33.002
"360.18527",33
"372.19357",32.996
"273.11383",32.992
"286.20538",32.937
"327.05213",32.929
"229.14428158",32.903
"466.3063",32.847
"694.4898",32.776
"335.16186",32.764
"467.30354",32.754
"791.36906",32.71
"323.18466",32.687
"782.56601",32.598
"365.19747",32.59
"695.27564",32.58
"270.04762",32.574
"423.25224",32.57
"335.25979",32.558
"147.03148",32.528
"465.29817",32.527
"261.16113",32.519
"435.03493",32.492
"335.16194",32.491
"466.33066",32.443
"379.24916",32.429
"341.14856",32.421
"548.76744",32.405
"438.12809",32.345
"673.54122",32.324
"120.05231",32.278
"526.35134",32.276
"531.29937",32.266
"206.16249",32.245
"299.11986",32.219
"725.39689",32.027
"326.90192",32.005
"292.16395",31.997
"525.26206",31.993
"271.19192",31.954
"225.10456",31.903
"444.26028",31.872
"404.28883",31.85
"583.29175",31.848
"387.12843",31.777
"117.92741",31.734
"363.14569",31.703
"542.31154",31.684
"488.34696",31.63
"226.11597",31.614
"439.29644923",31.564
"329.10339",31.502
"344.14555",31.455
"284.09063",31.431
"449.28686",31.422
"136.04728",31.409
"384.15689",31.385
"262.62035",31.381
"498.26185",31.381
"751.58958",31.366
"524.34144",31.359
"272.12967",31.356
"285.07739",31.356
"489.33445",31.336
"375.17961",31.329
"473.25211",31.256
"500.31316",31.212
"574.45067",31.208
"448.31622",31.207
"474.25518",31.184
"539.3052",31.171
"243.1714",31.167
"391.14943",31.165
"274.05509",31.145
"470.23041",31.133
"537.2381",31.104
"382.84249",31.088
"418.34126",31.043
"524.30017",31.037
"329.10361",31.036
"635.43194",30.973
"544.25911",30.968
"124.02274",30.941
"377.23387",30.938
"473.28273",30.932
"759.41585",30.896
"438.26324",30.857
"282.25008",30.856
"297.0863",30.856
"347.18991",30.846
"664.54128",30.828
"413.20071",30.797
"117.92734317",30.788
"461.32021",30.785
"116.92741",30.785
"165.06595",30.615
"307.19497",30.602
"254.62273",30.602
"592.39415",30.561
"259.16354",30.56
"502.2504",30.549
"199.05807",30.542
"468.31845",30.538
"441.23961",30.517
"557.45693",30.51
"526.31446",30.493
"314.14341",30.472
"443.25708",30.47
"455.24761",30.46
"527.40873",30.386
"511.27328",30.377
"476.28442",30.374
"539.13902",30.372
"233.09303",30.357
"332.1173",30.356
"503.26803544",30.344
"775.57754",30.336
"300.19009",30.317
"461.99703",30.313
"118.92134",30.299
"480.17773",30.244
"297.13464",30.239
"543.29755",30.238
"359.22329",30.22
"465.32263",30.206
"361.2571",30.188
"329.10355",30.172
"752.59188",30.171
"781.56251",30.154
"243.0512",30.092
"677.3752",30.074
"298.16492",30.067
"283.26464",30.066
"129.09095",30.035
"182.01982",30.024
"611.3798",29.972
"501.25275",29.967
"315.0326",29.956
"610.35935",29.918
"194.90507",29.907
"203.05565",29.902
"515.26871",29.887
"544.26583",29.882
"132.07193",29.879
"492.98601",29.845
"417.30145",29.83
"349.14133",29.825
"542.26082",29.818
"551.30443",29.814
"374.23935",29.806
"517.31732",29.782
"166.08641",29.781
"466.23512",29.741
"327.08788",29.737
"455.29403",29.716
"230.10337",29.702
"243.17151",29.692
"385.14909",29.657
"166.0975",29.641
"391.28582",29.638
"674.54508",29.624
"471.27325",29.583
"373.2751",29.577
"318.21548",29.568
"388.25289",29.533
"258.17918",29.526
"223.08044",29.505
"425.26794",29.504
"659.50263",29.501
"362.07563",29.495
"445.19016",29.478
"358.13021",29.451
"424.27895",29.422
"555.31836",29.403
"633.48615",29.401
"623.42992",29.396
"774.57424",29.39
"332.93431",29.377
"283.1033",29.332
"317.13994",29.331
"274.14506",29.236
"759.41566",29.215
"485.02091",29.171
"214.10817",29.068
"283.17237",29.054
"539.26059",29.02
"421.20998",28.971
"440.29939",28.927
"782.56603",28.927
"588.46626",28.918
"504.2713",28.902
"305.15112",28.892
"701.53645",28.865
"169.07622",28.811
"303.11536",28.8
"449.32772",28.779
"307.25507",28.74
"409.29584",28.725
"255.14227",28.721
"319.22807",28.671
"492.34538",28.658
"339.20919",28.651
"284.15882",28.594
"487.26812",28.586
"329.17625",28.535
"119.02228",28.528
"633.50959",28.497
"435.98168",28.491
